Epoch,Iter,Running_Loss,Mode
0,1431,0.003979274568144055,train_epoch
0,160,0.0027944931784357595,val_epoch
1,1431,0.0029716534220077637,train_epoch
1,160,0.0026216237259663764,val_epoch
2,1431,0.0026578976348037285,train_epoch
2,160,0.0026262308633136907,val_epoch
3,1431,0.0024547825925775374,train_epoch
3,160,0.002585524572706337,val_epoch
4,1431,0.0023229741950697583,train_epoch
4,160,0.0027023337104103784,val_epoch
5,1431,0.002206637292538442,train_epoch
5,160,0.0026785594372805534,val_epoch
5,160,0.0026785594372805534,best_model_weights
6,1431,0.002133074747079817,train_epoch
6,160,0.002641986656796244,val_epoch
6,160,0.002641986656796244,best_model_weights
7,1431,0.002057144565585163,train_epoch
7,160,0.002926387054107364,val_epoch
8,1431,0.0020096601249927175,train_epoch
8,160,0.0028926882796086275,val_epoch
9,1431,0.0019530256916333105,train_epoch
9,160,0.0029145263137799627,val_epoch
10,1431,0.0019144831958074675,train_epoch
10,160,0.0029888813208235414,val_epoch
11,1431,0.0018771289584068218,train_epoch
11,160,0.0032464371706747708,val_epoch
12,1431,0.0018610541170427845,train_epoch
12,160,0.0033114761908715857,val_epoch
13,1431,0.001837313706956039,train_epoch
13,160,0.003303745534599147,val_epoch
14,1431,0.0018202175427548192,train_epoch
14,160,0.00323685945575938,val_epoch
15,1431,0.0018046021229956902,train_epoch
15,160,0.003369023640314564,val_epoch
16,1431,0.0017850422748337193,train_epoch
16,160,0.0032342334499057823,val_epoch
17,1431,0.0017714035189508944,train_epoch
17,160,0.0034503105263746876,val_epoch
18,1431,0.0017609086906954948,train_epoch
18,160,0.0035058803291584326,val_epoch
19,1431,0.001753146467176292,train_epoch
19,160,0.003794646630235088,val_epoch
20,1431,0.001746382600482808,train_epoch
20,160,0.003516010009541157,val_epoch
21,1431,0.0017345117626750097,train_epoch
21,160,0.0035189216992518595,val_epoch
22,1431,0.001721872361074462,train_epoch
22,160,0.003675450560232421,val_epoch
23,1431,0.0017218452641075768,train_epoch
23,160,0.0036241294690452512,val_epoch
24,1431,0.0017213590690110389,train_epoch
24,160,0.003669116454107455,val_epoch
25,1431,0.0017116873530123393,train_epoch
25,160,0.003914059693138901,val_epoch
26,1431,0.001706657362301891,train_epoch
26,160,0.003924950394087394,val_epoch
27,1431,0.001706991160962231,train_epoch
27,160,0.003825301224395279,val_epoch
28,1431,0.0016921421080224824,train_epoch
28,160,0.0037538326912801997,val_epoch
29,1431,0.001697059718275107,train_epoch
29,160,0.0039289308126062945,val_epoch
30,1431,0.0016880456752721975,train_epoch
30,160,0.003882163622059488,val_epoch
31,1431,0.0016850627114600892,train_epoch
31,160,0.0038936673220507866,val_epoch
32,1431,0.001682586159622791,train_epoch
32,160,0.003880587940086952,val_epoch
33,1431,0.0016824916267638127,train_epoch
33,160,0.0039321454804556845,val_epoch
34,1431,0.0016824208103967753,train_epoch
34,160,0.0038240782152451176,val_epoch
35,1431,0.001670007850945857,train_epoch
35,160,0.003968286110305941,val_epoch
36,1431,0.0016772677793815294,train_epoch
36,160,0.0038961036239115953,val_epoch
37,1431,0.0016777785842868828,train_epoch
37,160,0.0038137754136438784,val_epoch
38,1431,0.0016753707638279634,train_epoch
38,160,0.004024191309773126,val_epoch
39,1431,0.0016708217302155836,train_epoch
39,160,0.004082690605332098,val_epoch
40,1431,0.0016640992180327885,train_epoch
40,160,0.0038231190861708142,val_epoch
41,1431,0.0016583010650892851,train_epoch
41,160,0.004048484392681873,val_epoch
42,1431,0.001667305515494065,train_epoch
42,160,0.003963146889992458,val_epoch
43,1431,0.0016704449954789975,train_epoch
43,160,0.00411655071753123,val_epoch
44,1431,0.0016617351389644854,train_epoch
44,160,0.0038991324161297687,val_epoch
45,1431,0.0016695615577292967,train_epoch
45,160,0.004025688669804688,val_epoch
46,1431,0.001641862454785778,train_epoch
46,160,0.0037700473374299567,val_epoch
47,1431,0.001665152036783275,train_epoch
47,160,0.004025551089769801,val_epoch
